,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er,sie,es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,Bild,Bild 1,Bild 2,Bild 3,Bild 4,Infinitif
27,bringen,bringe,,bringst,,bringt,brachte,,gebracht,,brächte,,bring,bringe,,bringt,,haben,,,,,,,apporter
28,sichern,sichere,,sicherst,,sichert,sicherte,,gesichert,,sicherte,,sichere,,,sichert,,haben,,,,,,,pour sauvegarder
29,fragen,frage,,fragst,frägst,fragt,fragte,frug,gefragt,,fragte,früge,frag,frage,,fragt,,haben,,,,,,,des questions
30,kennen,kenne,,kennst,,kennt,kannte,,gekannt,,kennte,,kenne,kenn,,kennt,,haben,,,,,,,savoir
31,helfen,helfe,,hilfst,,hilft,half,,geholfen,,hülfe,hälfe,hilf,,,helft,,haben,,,,,,,aide
32,reden,rede,,redest,,redet,redete,,geredet,,redete,,red,rede,,redet,,haben,,,,,,,parler
33,stehen,stehe,,stehst,,steht,stand,,gestanden,,stünde,stände,stehe,steh,,steht,,haben,sein,,,,,,rester
34,bleiben,bleibe,,bleibst,,bleibt,blieb,,geblieben,,bliebe,,bleibe,bleib,,bleibt,,sein,,,,,,,rester
35,brauchen,brauche,,brauchst,,braucht,brauchte,,gebraucht,,brauchte,bräuchte,brauche,brauch,,braucht,,haben,,,,,,,besoin
36,sprechen,spreche,,sprichst,,spricht,sprach,,gesprochen,,spräche,,sprich,,,sprecht,,haben,,,,,,,parler
37,passieren,passiere,,passierst,,passiert,passierte,,passiert,,passierte,,passiere,passier,,passiert,,haben,sein,,,,,,arriver
38,dürfen,darf,,darfst,,darf,durfte,,gedurft,,dürfte,,—,,,—,,haben,,,,,,,peut
39,halten,halte,,hältst,,hält,hielt,,gehalten,,hielte,,halt,halte,,haltet,,haben,,Keller saves PK attempt by Henry.ogv|thumb|10|Der [[Torwart]] hat den [[Elfmeter]] ''gehalten.'',,,,,prise
40,töten,töte,,tötest,,tötet,tötete,,getötet,,tötete,,töte,,,tötet,,haben,,,,,,,tuer
41,sterben,sterbe,,stirbst,,stirbt,starb,,gestorben,,stürbe,,stirb,,,sterbt,,sein,,,,,,,mourir
42,fahren,fahre,,fährst,,fährt,fuhr,,gefahren,,führe,,fahr,fahre,,fahrt,,sein,haben,,,,,,conduire
43,bekommen,bekomme,,bekommst,,bekommt,bekam,,bekommen,,bekäme,,bekomm,bekomme,,bekommt,,haben,sein,,,,,,recevoir
44,arbeiten,arbeite,,arbeitest,,arbeitet,arbeitete,,gearbeitet,,arbeitete,,arbeite,,,arbeitet,,haben,,,Velden Christkindlmarkt Schmied Demo 16122007 21.jpg|mini|1|der Schmied ''arbeitet'',Street Craftsman in Olinda.jpg|thumb|1|Ein [[Handwerker]] ''arbeitet'' auf der [[Straße]].,Flens Flaschenbefüllung.jpg|mini|2|die Flaschenbefüllung ''arbeitet'' wieder,"16 inch wide oak flooring.jpeg|mini|4|Fugen entstehen, wenn das Holz ''arbeitet''",travail
45,verdammen,verdamme,,verdammst,,verdammt,verdammte,,verdammt,,verdammte,,verdamm,verdamme,,verdammt,,haben,,,,,,,condamner
46,versuchen,versuche,,versuchst,,versucht,versuchte,,versucht,,versuchte,,versuche,,,versucht,,haben,,,,,,,tentative
47,erzählen,erzähle,,erzählst,,erzählt,erzählte,,erzählt,,erzählte,,erzähl,erzähle,,erzählt,,haben,,,,,,,dire
48,essen,esse,,isst,,isst,aß,,gegessen,,äße,,iss,,,esst,,haben,,,,,,,manger
49,gleichen,gleiche,,gleichst,,gleicht,glich,,geglichen,,gliche,,gleiche,,,gleicht,,haben,,,,,,,même
50,laufen,laufe,,läufst,,läuft,lief,,gelaufen,,liefe,,lauf,laufe,,lauft,,sein,haben,,,,,,courir
51,heißen,heiße,,heißt,,heißt,hieß,,geheißen,,hieße,,heiß,heiße,,heißt,,haben,,,,,,,être appelé
52,spielen,spiele,,spielst,,spielt,spielte,,gespielt,,spielte,,spiel,spiele,,spielt,,haben,,,Duck Duck Goose.jpg|mini|1|[[Kinder]] ''spielen'' auf dem [[Rasen]],US Navy 090620-N-2798F-033 Sailors assigned to the aircraft carrier USS Harry S. Truman (CVN 75) and Carrier Air Wing (CVW) 3 compete in a Texas Hold 'Em Poker tournament aboard Harry S. Truman.jpg|mini|1|[[Poker]] ''spielen'',MHVC-KyokoYonemoto-PaganiniCaprice24.ogv|mini|3| die [[Geigerin]] Kyoko Yonemoto ''spielt'' Niccolò Paganinis Caprice Nr. 24 in A-[[Moll]],Tennis-spielendes-M%C3%A4dchen.jpg|mini|4|Ein [[Mädchen]] ''spielt'' [[Tennis]],jouer
53,stimmen,stimme,,stimmst,,stimmt,stimmte,,gestimmt,,stimmte,,stimm,stimme,,stimmt,,haben,,Pipe organ tuning.ogv|mini|1|''Stimmen'' einer [[Orgel]],,,,,voix
54,verlieren,verliere,,verlierst,,verliert,verlor,,verloren,,verlöre,,verliere,verlier,,verliert,,haben,,,"Blue(s) Cendrillon (14680240346).jpg|thumb|2|„Ups, da habe ich doch [[gerade]] [[mein]]en [[Schuh]] ''verloren.''“",Gambling games.jpg|thumb|3|Man kann im [[Spielkasino]] [[gegen]] die [[Bank]] [[nur]] ''verlieren'',,,perdre
55,schnellen,schnelle,,schnellst,,schnellt,schnellte,,geschnellt,,schnellte,,schnell,,,schnellt,,haben,,,,,,,rapide
56,scheißen,scheiße,,scheißt,,scheißt,schiss,,geschissen,,schisse,,scheiß,,,scheißt,,haben,,DefecatingSeagull2.jpg|240px|1|eine ''scheißende'' Möwe,,,,,merde
57,suchen,suche,,suchst,,sucht,suchte,,gesucht,,suchte,,suche,such,,sucht,,haben,,,,,,,chercher
58,fühlen,fühle,,fühlst,,fühlt,fühlte,,gefühlt,,fühlte,,fühl,fühle,,fühlt,,haben,,,,,,,sentir
59,holen,hole,,holst,,holt,holte,,geholt,,holte,,hole,hol,,holt,,haben,,,,,,,aller chercher
60,treffen,treffe,,triffst,,trifft,traf,,getroffen,,träfe,,triff,,,trefft,,haben,,,,,,,rencontrer
61,schaffen,schaffe,,schaffst,,schafft,schuf,,geschaffen,,schüfe,,schaffe,,,schafft,,haben,,,,,,,créer
62,liegen,liege,,liegst,,liegt,lag,,gelegen,,läge,,lieg,liege,,liegt,,haben,sein,,,,,,poser
63,zeigen,zeige,,zeigst,,zeigt,zeigte,,gezeigt,,zeigte,,zeige,zeig,,zeigt,,haben,,"Young Cossack Ivan Kudryavtsev.jpg|thumb|3|Ein [[klein]]er [[Junge]] ''zeigt'' auf etwas (und wir [[wissen]] nicht, worauf).",,,,,montrer
64,erinnern,erinnere,,erinnerst,,erinnert,erinnerte,,erinnert,,erinnerte,,erinnere,,,erinnert,,haben,,,,,,,souviens-toi
65,danken,danke,,dankst,,dankt,dankte,,gedankt,,dankte,,dank,danke,,dankt,,haben,,,,,,,remercier
66,stunden,stunde,,stundest,,stundet,stundete,,gestundet,,stundete,,stunde,,,stundet,,haben,,,,,,,heures
67,entschuldigen,entschuldige,,entschuldigst,,entschuldigt,entschuldigte,,entschuldigt,,entschuldigte,,entschuldige,,,entschuldigt,,haben,,,,,,,excuse
68,schlafen,schlafe,,schläfst,,schläft,schlief,,geschlafen,,schliefe,,schlaf,schlafe,,schlaft,,haben,,,"Anker Schlafender Knabe im Heu.jpg|thumb|1a|[[Gemälde]] von einem [[Junge]]n, der im Heu ''schläft.''",Sleeping wire-haired Dachshund.jpg|thumb|1a|Ein [[Rauhaardackel]] ''schläft'' in der [[Sonne]].,Lateral sex.jpg|thumb|3a|[[Mann]] und [[Frau]] ''schlafen'' [[miteinander]].,,dormir
69,fallen,falle,,fällst,,fällt,fiel,,gefallen,,fiele,,falle,fall,,fallt,,sein,,,,,,,automne
70,verschwinden,verschwinde,,verschwindest,,verschwindet,verschwand,,verschwunden,,verschwände,,verschwinde,,,verschwindet,,sein,,,,,,,disparaître
71,vergessen,vergesse,,vergisst,,vergisst,vergaß,,vergessen,,vergäße,,vergiss,,,vergesst,,haben,,,,,,,oublier
72,fertigen,fertige,,fertigst,,fertigt,fertigte,,gefertigt,,fertigte,,fertig,fertige,,fertigt,,haben,,,,,,,fabrication
73,nennen,nenne,,nennst,,nennt,nannte,,genannt,,nennte,,nenn,nenne,,nennt,,haben,,,,,,,appeler
74,wahren,wahre,,wahrst,,wahrt,wahrte,,gewahrt,,wahrte,,wahre,,,wahrt,,haben,,,,,,,préserver
75,lieben,liebe,,liebst,,liebt,liebte,,geliebt,,liebte,,liebe,,,liebt,,haben,,,,,,,amour
76,stellen,stelle,,stellst,,stellt,stellte,,gestellt,,stellte,,stelle,,,stellt,,haben,,,,,,,lieu
77,ziehen,ziehe,,ziehst,,zieht,zog,,gezogen,,zöge,,ziehe,zieh,,zieht,,haben,sein,,,,,,tirer
78,kriegen,kriege,,kriegst,,kriegt,kriegte,,gekriegt,,kriegte,,kriege,krieg,,kriegt,,haben,,,,,,,obtenir
79,verrücken,verrücke,,verrückst,,verrückt,verrückte,,verrückt,,verrückte,,verrück,verrücke,,verrückt,,haben,,,,,,,devenir fou
80,trinken,trinke,,trinkst,,trinkt,trank,,getrunken,,tränke,,trink,trinke,,trinkt,,haben,,,Boy_drinks_from_a_tap_at_a_NEWAH_WASH_water_project_%2810677785345%29.jpg|mini|1| ein [[durstig]]er Junge [[schlürfen|schlürft]] aus der Hand und ''trinkt'' so das [[Wasser]],Sipahh_-_girl.jpg|mini|1|durch [[Saugen]] am [[Strohhalm]] ''trinkt'' das Mädchen die [[Milch]] im [[Glas]],Oktoberfest woman.jpg|thumb|1|eine [[Frau]] ''trinkt'' aus einem [[Bierglas]] / [2] ''trinkt'' [[Bier]] beim [[Oktoberfest]],,boire
81,hoffen,hoffe,,hoffst,,hofft,hoffte,,gehofft,,hoffte,,hoff,hoffe,,hofft,,haben,,,,,,,espoir
82,schreiben,schreibe,,schreibst,,schreibt,schrieb,,geschrieben,,schriebe,,schreibe,schreib,,schreibt,,haben,,,"M. Klein's hands, writing. Wellcome L0018664.jpg|mini|1|etwas von [[Hand]] ''schreiben''",Backlit keyboard.jpg|mini|5|etwas auf einer [[Tastatur]] ''schreiben'',,,écrire
83,bereiten,bereite,,bereitest,,bereitet,bereitete,,bereitet,,bereitete,,bereite,,,bereitet,,haben,,,,,,,préparer
84,setzen,setze,,setzt,setzest,setzt,setzte,,gesetzt,,setzte,,setze,setz,,setzt,,haben,,,,,,,ensemble
85,bedeuten,bedeute,,bedeutest,,bedeutet,bedeutete,,bedeutet,,bedeutete,,bedeute,,,bedeutet,,haben,,,,,,,signifier
86,rufen,rufe,,rufst,,ruft,rief,,gerufen,,riefe,,rufe,ruf,,ruft,,haben,,,,,,,appeler
87,lesen,lese,,liest,,liest,las,,gelesen,,läse,,lies,,,lest,,haben,,,,,,,lire
88,lernen,lerne,,lernst,,lernt,lernte,,gelernt,,lernte,,lerne,,,lernt,,haben,,"A Family Place Library (14071427991).jpg|thumb|1|Hier ''lernen'' [[Kind]]er, wie eine [[Bücherei]] [[funktionieren|funktioniert]].",,,,,apprendre
89,retten,rette,,rettest,,rettet,rettete,,gerettet,,rettete,,rette,,,rettet,,haben,,,,,,,sauvetage
90,sorgen,sorge,,sorgst,,sorgt,sorgte,,gesorgt,,sorgte,,sorg,sorge,,sorgt,,haben,,,,,,,s'occuper de
91,sitzen,sitze,,sitzt,,sitzt,saß,,gesessen,,säße,,sitz,,,sitzt,,haben,sein,,RepinPaintersDaughter.jpg|thumb|1|auf einem [[Balken]] ''sitzendes'' [[Mädchen]],Schneider Waldsee Kornhausmuseum.jpg|thumb|1|''Sitzen'' im Schneidersitz,"Daniel_D._Pratt,_Brady-Handy_photo_portrait,_sitting.jpg|thumb|4, 1|schlecht ''sitzende'' Weste [[tragen|getragen]] von einem [[Mann]], der mit übereinander geschlagenen [[Bein]]en auf einem [[Stuhl]] ''sitzt''",,s'asseoir
92,tragen,trage,,trägst,,trägt,trug,,getragen,,trüge,,trag,trage,,tragt,,haben,,,,,,,porter
93,scheinen,scheine,,scheinst,,scheint,schien,,geschienen,,schiene,,scheine,schein,,scheint,scheinet,haben,,,,,,,sembler
94,verlassen,verlasse,,verlässt,,verlässt,verließ,,verlassen,,verließe,,verlasse,,,verlasst,,haben,,,,,,,partir
95,ruhen,ruhe,,ruhst,,ruht,ruhte,,geruht,,ruhte,,ruh,,,ruht,,haben,,,,,,,repos
96,kümmern,kümmere,,kümmerst,,kümmert,kümmerte,,gekümmert,,kümmerte,,kümmere,,,kümmert,,haben,,,,,,,prends soin de toi
97,versprechen,verspreche,,versprichst,,verspricht,versprach,,versprochen,,verspräche,,versprich,,,versprecht,,haben,,,,,,,promesse
98,reichen,reiche,,reichst,,reicht,reichte,,gereicht,,reichte,,reiche,,,reicht,,haben,,Berlin marathon kilometer 34 Tauentzien 25.09.2011 11-31-07.jpg|thumb|1|Beim [[Marathon]] ''reichen'' [[Helfer]] den [[Läufer]]n [[Wasser]].,,,,,sont suffisants
99,anrufen,rufe an,,rufst an,,ruft an,rief an,,angerufen,,riefe an,,ruf an,,,ruft an,,haben,,,,,,,appel
100,bestimmen,bestimme,,bestimmst,,bestimmt,bestimmte,,bestimmt,,bestimmte,,bestimme,,,bestimmt,,haben,,,,,,,déterminer
101,langen,lange,,langst,,langt,langte,,gelangt,,langte,,lange,lang,,langt,,haben,,,,,,,long
102,umbringen,bringe um,,bringst um,,bringt um,brachte um,,umgebracht,,brächte um,,bring um,,,bringt um,,haben,,,,,,,tuer
103,tollen,tolle,,tollst,,tollt,tollte,,getollt,,tollte,,toll,tolle,,tollt,,haben,sein,,,,,,super
104,fangen,fange,,fängst,,fängt,fing,,gefangen,,finge,,fang,fange,,fangt,,haben,,,In Search of the San 07.jpg|thumb|3|Ein Kind ''fängt'' einen Ball,,,,attraper
105,kaufen,kaufe,,kaufst,,kauft,kaufte,,gekauft,,kaufte,,kauf,,,kauft,,haben,,20161122-bournville-labour-small-business-saturday-2016-9.jpg|mini|1|eine Kundin ''kauft'' in einem kleinen Laden,,,,,acheter
106,wagen,wage,,wagst,,wagt,wagte,,gewagt,,wagte,,wage,,,wagt,,haben,,BASE Jumping from Sapphire Tower in Istanbul.jpg|mini|1|Ein Extremsportler ''wagt'' einen Sprung von einem Turm in [[Istanbul]],,,,,oser
107,altern,altere,,alterst,,altert,alterte,,gealtert,,alterte,,altere,,,altert,,sein,,,,,,,vieillissement
108,erwarten,erwarte,,erwartest,,erwartet,erwartete,,erwartet,,erwartete,,erwarte,,,erwartet,,haben,,,,,,,attendre
109,folgen,folge,,folgst,,folgt,folgte,,gefolgt,,folgte,,folge,folg,,folgt,,sein,haben,,,,,,conséquences
110,schauen,schaue,schau,schaust,,schaut,schaute,,geschaut,,schaute,,schaue,schau,,schaut,,haben,,,,,,,regarder
111,heiraten,heirate,,heiratest,,heiratet,heiratete,,geheiratet,,heiratete,,heirate,,,heiratet,,haben,,,Flodmark-Ehrs Marriage 2016 crop.jpg|thumb|1|Sie haben gerade [[standesamtlich]] ''geheiratet.'',"Russian church wedding in Toronto,Canada.jpg|thumb|1|Sie ''heiraten'' gerade [[kirchlich]].",,,marier
112,lachen,lache,,lachst,,lacht,lachte,,gelacht,,lachte,,lache,lach,,lacht,,haben,,"A man Laughing.gif|mini|1|Ein Mann, der ''lacht''",,Lachen Mix MM.ogg|mini|1|Eine Frau ''lacht'',,,rire
113,schlagen,schlage,,schlägst,,schlägt,schlug,,geschlagen,,schlüge,,schlag,schlage,,schlagt,,haben,,,,,,,frapper
114,gefallen,gefalle,,gefällst,,gefällt,gefiel,,gefallen,,gefiele,,gefalle,gefall,,gefallt,,haben,,,,,,,déchu
115,bezahlen,bezahle,,bezahlst,,bezahlt,bezahlte,,bezahlt,,bezahlte,,bezahle,,,bezahlt,,haben,,,,,,,payer
116,stecken,stecke,,steckst,,steckt,steckte,stak,gesteckt,,steckte,stäke,steck,,,steckt,,haben,,,,,,,mettre
117,gewinnen,gewinne,,gewinnst,,gewinnt,gewann,,gewonnen,,gewönne,gewänne,gewinn,,,gewinnt,,haben,,,Keion Bain.jpg|thumb|2|Er hat einen [[Boxkampf]] ''gewonnen.'',Stage_3_Fabian_Cancellara_is_the_early_hero_of_the_2007_Tour_de_France.jpg|thumb|2|Der [[Mann]] in [[gelb]] ''gewinnt'' eine [[Etappe]] bei der [[Tour de France]].,,,gagner
118,lügen,lüge,,lügst,,lügt,log,,gelogen,,löge,,lüg,,,lügt,,haben,,,,,,,mensonge
119,klingen,klinge,,klingst,,klingt,klang,,geklungen,,klänge,,klinge,kling,,klingt,,haben,,,,,,,son
120,vertrauen,vertraue,,vertraust,,vertraut,vertraute,,vertraut,,vertraute,,vertrau,vertraue,,vertraut,vertrauet,haben,,,,,,,confiance
121,ändern,ändere,,änderst,,ändert,änderte,,geändert,,änderte,,ändere,,,ändert,,haben,,,,,,,changement
122,benutzen,benutze,,benutzt,,benutzt,benutzte,,benutzt,,benutzte,,benutze,benutz,,benutzt,,haben,,,,,,,utiliser
123,schicken,schicke,,schickst,,schickt,schickte,,geschickt,,schickte,,schick,,,schickt,,haben,,,,,,,envoyer
124,erklären,erkläre,,erklärst,,erklärt,erklärte,,erklärt,,erklärte,,erkläre,erklär,,erklärt,,haben,,,,,,,expliquer
125,legen,lege,,legst,,legt,legte,,gelegt,,legte,,lege,leg,,legt,,haben,,,,,,,lieu
126,wiedersehen,sehe wieder,,siehst wieder,,sieht wieder,sah wieder,,wiedergesehen,,sähe wieder,,sieh wieder,siehe wieder,,seht wieder,,haben,,,,,,,à la prochaine
127,aufhören,höre auf,,hörst auf,,hört auf,hörte auf,,aufgehört,,hörte auf,,hör auf,höre auf,,hört auf,,haben,,,,,,,arrêt
128,anfangen,fange an,,fängst an,,fängt an,fing an,,angefangen,,finge an,,fang an,fange an,,fangt an,,haben,,,,,,,commencer
129,beginnen,beginne,,beginnst,,beginnt,begann,,begonnen,,begönne,begänne,beginn,beginne,,beginnt,,haben,,,,,,,commencer
130,verdienen,verdiene,,verdienst,,verdient,verdiente,,verdient,,verdiente,,verdiene,,,verdient,,haben,,,,,,,gagner
131,freuen,freue,,freust,,freut,freute,,gefreut,,freute,,freu,,,freut,,haben,,,,,,,Soyez heureux
132,wohnen,wohne,,wohnst,,wohnt,wohnte,,gewohnt,,wohnte,,wohne,wohn,,wohnt,,haben,,385 PEMA.jpg|210px|1|Menschen ''wohnen'' oft sehr unterschiedlich,,,,,résider
133,fliegen,fliege,,fliegst,,fliegt,flog,,geflogen,,flöge,,flieg,fliege,,fliegt,,sein,haben,,,,,,voler
134,geschehen,—,,—,,geschieht,geschah,,geschehen,,geschähe,,—,,,—,,sein,,,,,,,arriver
135,gedenken,gedenke,gedenk,gedenkst,,gedenkt,gedachte,,gedacht,,gedächte,,gedenk,gedenke,,gedenkt,,haben,,,,,,,commémorer
136,funktionieren,funktioniere,,funktionierst,,funktioniert,funktionierte,,funktioniert,,funktionierte,,funktioniere,funktionier,,funktioniert,,haben,,,"Fotothek df n-20 0000142 Zerspannungsfacharbeiter.jpg|thumb|1|eine [[Maschine]], die ''funktioniert''","FHM-Orchestra-mk2006-02.jpg|thumb|1|ein [[Orchester]] ''funktioniert'', wenn [[alle]] [[zusammenspielen]]",,,fonction
137,verkaufen,verkaufe,,verkaufst,,verkauft,verkaufte,,verkauft,,verkaufte,,verkauf,verkaufe,,verkauft,,haben,,,,,,,vendre
138,schießen,schieße,,schießt,,schießt,schoss,,geschossen,,schösse,,schieß,,,schießt,,haben,sein,,,,,,tirer
139,dauern,dauere,,dauerst,,dauert,dauerte,,gedauert,,dauerte,,dauere,,,dauert,,haben,,,,,,,dernier
140,kämpfen,kämpfe,,kämpfst,,kämpft,kämpfte,,gekämpft,,kämpfte,,kämpf,kämpfe,,kämpft,,haben,,Aulalassance.jpg|mini|1|''kämpfende'' Tai-Chi-Chuan-Kämpfer,,,,,bataille
141,wünschen,wünsche,,wünschst,wünscht,wünscht,wünschte,,gewünscht,,wünschte,,wünsche,,,wünscht,,haben,,,,,,,souhait
142,werfen,werfe,,wirfst,,wirft,warf,,geworfen,,würfe,,wirf,,,werft,,haben,,,"Bundesarchiv Bild 183-1984-0520-017, Petra Felke.jpg|mini|1|sie ''wirft'' den Speer",Kittens 120720081883.jpg|mini|2|die Katze ''hat geworfen'',,,lancer
143,aussehen,sehe aus,,siehst aus,,sieht aus,sah aus,,ausgesehen,,sähe aus,,sieh aus,siehe aus,,seht aus,,haben,,,,,,,regarder
144,führen,führe,,führst,,führt,führte,,geführt,,führte,,führe,,,führt,,haben,,,,,,,plomb
145,öffnen,öffne,,öffnest,,öffnet,öffnete,,geöffnet,,öffnete,,öffne,,,öffnet,,haben,,,,,,,ouvrir
146,interessieren,interessiere,,interessierst,,interessiert,interessierte,,interessiert,,interessierte,,interessiere,interessier,,interessiert,,haben,,,,,,,intéressé
147,brechen,breche,,brichst,,bricht,brach,,gebrochen,,bräche,,brich,,,brecht,,haben,sein,,Boelge stor.jpg|thumb|2|Der [[Kamm]] einer [[Welle]] ''bricht.'',Oktoberfest 2011 007 vomit drunken female.jpg|thumb|9|Eine [[Betrunkene]] des [[München]]er [[Oktoberfest]]es muss ''brechen.'',,,casser
148,verletzen,verletze,,verletzt,,verletzt,verletzte,,verletzt,,verletzte,,verletze,,,verletzt,,haben,,,,,,,blesser
149,bitten,bitte,,bittest,,bittet,bat,,gebeten,,bäte,,bitte,,,bittet,,haben,,,,,,,demander
150,verstecken,verstecke,,versteckst,,versteckt,versteckte,,versteckt,,versteckte,,verstecke,,,versteckt,,haben,,,,,,,cacher
151,erledigen,erledige,,erledigst,,erledigt,erledigte,,erledigt,,erledigte,,erledig,erledige,,erledigt,,haben,,,,,,,complet
152,sondern,sondere,,sonderst,,sondert,sonderte,,gesondert,,sonderte,,sondere,,,sondert,,haben,,,,,,,plutôt
153,erfahren,erfahre,,erfährst,,erfährt,erfuhr,,erfahren,,erführe,,erfahr,erfahre,,erfahrt,,haben,,,,,,,expérience
154,vorstellen,stelle vor,,stellst vor,,stellt vor,stellte vor,,vorgestellt,,stellte vor,,stell vor,stelle vor,,stellt vor,,haben,,,,,,,introduire
155,singen,singe,,singst,,singt,sang,,gesungen,,sänge,,singe,,,singt,,haben,,Zespół Pieśni i Tańca &quot;Śląsk&quot; Mikołów 07.jpg|280px|1|''singende'' Frauen,,,,,chanter
156,klappen,klappe,,klappst,,klappt,klappte,,geklappt,,klappte,,klappe,,,klappt,,haben,,,USMC ETool.jpg|thumb|1|Einen [[Klappspaten]] kann man auf- und zu''klappen'',Faltbehaelter01.jpg|thumb|1|Eine [[Klappbox]] [[müssen|muss]] vor dem [[benutzen|Benutzen]] auf''geklappt'' werden.,A-6E Intruder aboard USS Midway with wings folded.jpg|thumb|1|Diese [[Flügel]] wurden ein''geklappt.'',,réussir
157,entscheiden,entscheide,,entscheidest,,entscheidet,entschied,,entschieden,,entschiede,,entscheide,,,entscheidet,,haben,,,,,,,décider
158,stehlen,stehle,,stiehlst,,stiehlt,stahl,,gestohlen,,stähle,stöhle,stiehl,,,stehlt,,haben,,,,,,,voler
159,zahlen,zahle,,zahlst,,zahlt,zahlte,,gezahlt,,zahlte,,zahle,zahl,,zahlt,,haben,,,,,,,payer
160,schließen,schließe,,schließt,,schließt,schloss,,geschlossen,,schlösse,,schließe,schließ,,schließt,,haben,,,,,,,fermer
161,bewegen,bewege,,bewegst,,bewegt,bewegte,,bewegt,,bewegte,,bewege,beweg,,bewegt,,haben,,,,,,,se déplacer
162,zerstören,zerstöre,,zerstörst,,zerstört,zerstörte,,zerstört,,zerstörte,,zerstöre,,,zerstört,,haben,,,,,,,détruire
163,ehren,ehre,,ehrst,,ehrt,ehrte,,geehrt,,ehrte,,ehre,,,ehrt,,haben,,,,,,,à l'honneur
164,ansehen,sehe an,,siehst an,,sieht an,sah an,,angesehen,,sähe an,,sieh an,,,seht an,,haben,,,,,,,voir
